Parent,total_capacity,num_plants,avg_age,num_countries,ISO 14001_avg,ISO 50001_avg,ResponsibleSteel Certification_avg,Latitude_centroid,Longitude_centroid,Latitude_largest,Longitude_largest
Beijing State-owned Capital Management Center [56.2%]; unknown [16.9%]; Industrial and Commercial Bank of China Ltd [8.3%]; China Construction Bank Corp [8.1%]; Bank of China Ltd [6.5%]; BANK of Jilin Co Ltd [0.9%]; Hana Bank Co Ltd [0.9%]; Changchun Financial Holding Group Co Ltd [0.6%]; Jilin Financial Holding Group Co Ltd [0.6%]; Jilin YATAI (GROUP) Co Ltd [0.5%]; Jilin PROVINCE Inestment Group Co Ltd [0.3%]; Changchun City Development Investment Holding (Group) Co Ltd [0.1%],9300.0,1,19.08,1,,,,41.779125,126.022349,41.779125,126.022349
Beijing State-owned Capital Management Center [61.1%]; China Huarong Asset Management Co Ltd [16.2%]; China Cinda Asset Management Co Ltd [13.2%]; unknown [9.6%],0.0,1,59.0,1,,,,26.595229,104.877413,26.595229,104.877413
Beijing State-owned Capital Management Center [70.0%]; Guizhou Qiansheng State-Owned Assets Management Co Ltd [29.7%]; unknown [0.3%],0.0,1,67.0,1,,,,26.873592,106.73215,26.873592,106.73215
Beijing State-owned Capital Management Center [90.0%]; Changzhi State-owned Industry Asset Operation Co Ltd [10.0%],0.0,1,29.49,1,,,,36.356404,113.060809,36.356404,113.060809
Beltrame Holding SpA [73.7%]; unknown [26.3%],0.0,1,150.0,1,,,,50.3292,3.490913,50.3292,3.490913
Beltrame Holding SpA [79.4%]; unknown [21.6%],0.0,1,107.0,1,2022.0,,,47.171958,7.562287,47.171958,7.562287
Beltrame Holding SpA [86.1%]; unknown [7.6%],0.0,1,52.0,1,,,,44.904569,25.458124,44.904569,25.458124
Beltrame Holding SpA [91.9%]; unknown [8.1%],0.0,1,49.0,1,,,,45.522097,11.499295,45.522097,11.499295
Bengang Steel Plates Co Ltd [100.0%],0.0,1,28.21,1,,,,41.274132,123.722099,41.274132,123.722099
Benteler International AG,0.0,1,51.0,1,2022.0,2022.0,,52.467622,7.317169,52.467622,7.317169
Berhard Development Corporation (Private) Ltd [100.0%],1200.0,1,,1,,,,-19.055102,29.782424,-19.055102,29.782424
Beshay Steel; National Service Products Organization,0.0,1,27.0,1,2020.0,2020.0,,30.389174,30.571894,30.389174,30.571894
Best Grace Holdings Pte Ltd [100.0%],0.0,1,5.0,1,,,,-2.829514,122.174896,-2.829514,122.174896
Bipadosa SL,0.0,4,63.5,2,,2022.0,,41.2387995,-6.661054249999999,41.255085,-8.555285
BlueScope Steel Ltd [100.0%],0.0,4,60.666666666666664,3,,,,2.42844575,35.07274475,-34.463834,150.886191
Breakthrough Energy Ventures LLC; unknown,0.0,1,,1,,,,40.06301,-105.221982,40.06301,-105.221982
Briquetera del Orinoco CA [100.0%],0.0,1,25.0,1,,,,8.274965,-62.819282,8.274965,-62.819282
British Asia Pan Ruogen International Co Ltd [100.0%],2216.0,1,25.0,1,,,,37.086116,114.384832,37.086116,114.384832
British Asia Pan Ruogen International Co Ltd [59.2%]; unknown [40.8%],23166.0,5,37.501999999999995,1,,,,38.0697496,115.9779006,36.58967,113.745792
British Asia Pan Ruogen International Co Ltd [60.0%]; Tangshan Fengrun Jinruicheng Iron and Steel Co Ltd [40.0%],0.0,1,14.0,1,,,,39.967373,117.857659,39.967373,117.857659
Bukhamseen Holding Group Co; Iranian Mines & Mining Industries Development & Renovation Organization,0.0,1,18.0,1,,,,28.989306,48.128118,28.989306,48.128118
CAP SA [100.0%],0.0,1,75.0,1,,,,-36.746421,-73.129171,-36.746421,-73.129171
CL Grupo Industrial,0.0,2,55.0,1,,,,39.318604,-5.235447,40.310803,-3.703568
CNR Group Holdings Pte Ltd [99.9%]; small shareholder(s) [0.1%],0.0,1,11.0,1,,,,-3.339296,115.927125,-3.339296,115.927125
CSCEC Rongdong Investment Holding Co Ltd [89.0%]; Fang TongZhou Holding Co Ltd [7.9%]; unknown [3.1%],0.0,1,15.0,1,,,,32.329171,115.954963,32.329171,115.954963
CSCEC Rongdong Investment Holding Co Ltd [90.0%]; Fang TongZhou Holding Co Ltd [8.0%]; unknown [2.0%],6000.0,1,30.0,1,,,,36.718952,114.111677,36.718952,114.111677
Cambodia Iron & Steel Mining Industry Group Co Ltd [100.0%],0.0,1,,1,,,,13.366642,105.118129,13.366642,105.118129
Cambodia Rongfeng Investment Co Ltd [62.5%]; Hebei Wenfeng Industrial Group Co Ltd [36.4%]; unknown [1.2%],0.0,1,18.03,1,,,,39.146541,118.432261,39.146541,118.432261
Cangzhou Lingang Sanling Metal Co Ltd [100.0%],0.0,1,30.0,1,,,,38.311738,117.457779,38.311738,117.457779
Captain Steel India Ltd [100.0%],0.0,1,,1,,,,22.855859,87.345018,22.855859,87.345018
Carbon Transition Pathways,0.0,2,,1,,,,-31.054427999999998,115.5199465,-33.341998,116.239926
Ceylon Steel Co Ltd [100.0%],0.0,1,,1,,,,6.128077,81.075224,6.128077,81.075224
Chadelmu Mining and Industrial Co [43.7%]; Mining and Metals Development Investment Co [20.5%]; small shareholder(s) [18.8%]; Yaran Tube Rolling Mill Co [17.0%],0.0,1,14.44,1,2023.0,2023.0,,32.39309,53.7566,32.39309,53.7566
Chadormalu Mining & Industrial Co [100.0%],4000.0,1,8.0,1,,,,32.387328,53.747706,32.387328,53.747706
Chadormalu Mining & Industrial Co; Ghadir Investment Company PJSC; Iran Alloy Steel Co; Shahrood Steel Co,0.0,1,14.39,1,,,,32.3912,53.7496,32.3912,53.7496
Chadormello Mining and Industrial Co [52.0%]; Tajali Mines and Metals Development Co [48.0%],0.0,1,,1,,,,31.222989,53.392728,31.222989,53.392728
Changshu Longteng Special Steel Co Ltd [100.0%],0.0,1,31.3,1,,,,31.723833,120.835685,31.723833,120.835685
Changzhou Dongrun Special Steel Co Ltd [90.0%]; natural person(s) [10.0%],0.0,1,15.64,1,,,,31.602554,119.724256,31.602554,119.724256
Chart and Capstone Integrated Ltd [100.0%],0.0,1,,1,,,,7.69346,6.806937,7.69346,6.806937
Charter Manufacturing Co Inc [100.0%],0.0,2,26.5,1,2023.0,2023.0,,42.42184,-84.8040555,41.443147,-81.659911
Chelyabinskiy Metallurgicheskiy Kombinat PJSC [100.0%],4500.0,1,82.0,1,2024.0,,,55.27073,61.436492,55.27073,61.436492
Chengde Shengfeng Iron & Steel Co Ltd [100.0%],0.0,1,17.0,1,,,,40.622466,118.490845,40.622466,118.490845
Chengde Zhaofeng Steel Group Co Ltd [100.0%],10000.0,1,19.0,1,,,,40.593875,118.633334,40.593875,118.633334
Chengdu Changfeng Steel Group Co Ltd [100.0%],0.0,1,55.0,1,,,,31.031921,103.672956,31.031921,103.672956
China Baowu Steel Group Co Ltd [100.0%],0.0,3,45.705,2,,,,25.01783066666667,112.86138866666666,11.56703,104.863893
China Baowu Steel Group Co Ltd [100.0%]; Eurasian Resources Group SARL [100.0%],0.0,1,,1,,,,52.9775332,63.1825737,52.9775332,63.1825737
China Baowu Steel Group Co Ltd [48.4%]; Kunming Iron & Steel Holding Co Ltd [40.3%]; unknown [4.2%],3200.0,2,21.615000000000002,1,,,,23.8598785,102.8972655,23.470733,103.272784
China Baowu Steel Group Co Ltd [70.0%]; Fujian Wugang Group Co Ltd [30.0%],2960.0,1,14.0,1,,,,26.48747,119.654461,26.48747,119.654461
China Baowu Steel Group Co Ltd [75.0%]; Guangdong Guangwu Holding Group Co Ltd [25.0%],0.0,1,67.0,1,,,,30.39574,114.861313,30.39574,114.861313
China Baowu Steel Group Co Ltd [79.3%]; Xinjiang Investment Development (Group) Co Ltd [5.2%]; Industrial and Commercial Bank of China Ltd [5.0%]; Bank of China Ltd [3.8%]; Agricultural Bank of China Ltd [3.6%]; unknown [3.0%],2074.0,1,15.01,1,,,,42.333321,86.302481,42.333321,86.302481
China Great Wall Asset Management Co Ltd [48.0%]; Beijing Jianlong Investment Co Ltd [45.5%]; unknown [6.5%],0.0,1,40.0,1,,,,37.47311,112.06093,37.47311,112.06093
China Minmetals Corp [14.3%]; Kelachandra Group [14.3%]; Manasara Group [14.3%]; Shanxi HONGDA Iron and Steel Group Co Ltd [14.3%]; The Joinus Venture Capital Co Ltd [14.3%]; Xinxing Cathay International Group Co Ltd [14.3%]; McWane Inc,5200.0,1,,1,,,,15.293421,76.234947,15.293421,76.234947
China Railway Materials Group Holdings Ltd [49.0%]; Shuangyao Investment Co Ltd [25.0%]; Hebei Xinhua United Metallurgical Holding Group Co Ltd [15.6%]; Sinogiant Steel HOLDINGS Group Ltd [9.4%]; unknown [1.0%],5775.0,1,19.0,1,,,,38.289221,117.814367,38.289221,117.814367
China Steel Corp [100.0%],6200.0,2,43.0,1,2022.5,2023.0,,23.3911695,120.4215815,24.226897,120.493911
China Steel Corp; Formosa Plastics Corp; JFE Holdings Inc,10000.0,1,17.0,1,,,,18.036333,106.428271,18.036333,106.428271
Chizhou Guichi Guihang Metal Products Co Ltd [100.0%],0.0,1,25.0,1,,,,30.532786,117.25166,30.532786,117.25166
Chongqing Iron & Steel Co Ltd [100.0%],0.0,1,28.0,1,,,,29.790253,107.040368,29.790253,107.040368
Chongqing Yonghang Steel Group Co Ltd [100.0%],0.0,1,22.0,1,,,,29.836163,106.988138,29.836163,106.988138
Chongqing Zuhang Steel Co Ltd [100.0%],0.0,1,17.0,1,,,,29.440056,105.741929,29.440056,105.741929
Chow Steel Industries PCL [100.0%],0.0,1,22.0,1,,,,14.074757,101.84215,14.074757,101.84215
Chubu Steel Plate Co Ltd [100.0%],0.0,1,66.0,1,,,,35.118836,136.867567,35.118836,136.867567
Citic Pacific Special Steel Group Co Ltd [100.0%],0.0,3,20.666666666666668,1,,,,32.594798000000004,118.39220733333333,30.204603,115.125838
Citic Pacific Special Steel Group Co Ltd [51.0%]; Tianjin Ngs Hongda General Co [12.0%]; The China Orient Asset Management Co Ltd [9.6%]; Far East Horizon [8.9%]; Tianjin Jincheng State-Owned Capital Investment and Operations Co Ltd [8.6%]; Tianjin Guoxing Capital Operation Co Ltd [3.2%]; unknown [2.4%]; Tianjin Dongjiang Free Trade Port Area Management Committee [2.4%]; Tianjin Teda Investment Holdings Co Ltd [1.6%]; Tianjin Jinzhi State-owned Capital Investment and Operation Co Ltd [0.0%]; Tianjin STATE-OWNED CAPITAL Investment and Management Co Ltd [0.0%]; Tianjin Guoheng Investment Holding Co Ltd [0.0%]; Tianjin Port (Group) Co Ltd [0.0%],1032.0,1,14.75,1,,,,39.034002,117.486798,39.034002,117.486798
Civil Pension Fund Investment Co,0.0,1,8.0,1,,,,27.189076,56.105633,27.189076,56.105633
Clerbil SL,0.0,1,58.0,1,,,,43.227282,-2.884676,43.227282,-2.884676
Cleveland-Cliffs Inc [100.0%],5100.0,12,106.33333333333333,2,2022.5555555555557,,,41.211778833333334,-82.50965675,41.631221,-87.143846
Commercial Metals Co [100.0%],0.0,8,44.25,2,2021.0,,,35.948403625,-74.77850674999999,50.487463,19.456759
Companhia Siderúrgica Nacional SA [100.0%],6930.0,2,113.0,2,2024.0,2024.0,,14.070971499999999,-16.33771,-22.512631,-44.11287
Complejo Siderurgico de Guayana CA [100.0%],0.0,1,27.0,1,,,,8.297662,-62.780149,8.297662,-62.780149
Corporacion Aceros Arequipa SA [100.0%],0.0,1,38.0,1,,,,-13.788622,-76.168173,-13.788622,-76.168173
Corporacion Venezolana de Guayana [100.0%],0.0,1,34.79,1,,,,8.290142,-62.805419,8.290142,-62.805419
Corporación Siderúrgica de Venezuela SA,0.0,1,35.0,1,,,,8.33468,-62.728842,8.33468,-62.728842
Cristian Lay SL [100.0%],0.0,1,,1,,,,43.179125,-2.255939,43.179125,-2.255939
DRI d'Italia SpA [100.0%],0.0,1,,1,,,,40.508993,17.207589,40.508993,17.207589
DST Nghi Son Iron and Steel JSC [100.0%],0.0,1,,1,,,,19.367379,105.675841,19.367379,105.675841
Daehan Steel Co Ltd [100.0%],0.0,1,17.78,1,,,,35.099098,128.860339,35.099098,128.860339
Daehan Steel Co Ltd [70.0%]; Yamato Kogyo Co Ltd [30.0%],0.0,2,30.5,1,,,,36.0009625,127.81632,35.083819,128.989034
